contigIdx	contigIdxMate	AvgCoverage
574	574	15.4772
574	8355	0.0211942
575	575	12.2696
576	576	11.6673
577	513	0.582196
577	577	21.4932
577	2279	0.905133
578	578	14.5997
578	581	0.10799
578	5040	0.207799
579	579	21.2679
579	5173	0.0570276
580	580	10.4988
580	7871	0.150685
581	578	0.0923077
581	581	35.5119
581	3371	0.0699301
581	5040	0.0470862
582	582	8.87219
583	583	12.7339
583	8550	0.17321
584	584	43.7834
584	3363	0.07955
585	585	19.072
585	3433	0.366269
586	586	30.3203
586	2967	0.181455
586	4305	0.0979217
586	11475	0.0605516
587	587	33.6695
587	2334	0.106371
587	2394	0.109071
587	5792	0.159287
587	6141	0.0529158
587	10310	0.0307775
587	10432	0.413067
587	11007	0.159827
588	588	13.9399
588	5122	0.0335437
589	589	23.0599
590	590	15.5795
591	591	10.1579
591	1092	0.0368794
592	592	24.809
592	5205	0.12934
592	5691	0.171441
593	593	26.8222
593	3340	0.041275
594	594	41.2133
594	2141	0.218472
594	2143	0.111647
594	7864	0.335312
595	595	10.6255
596	596	16.8105
596	4862	0.0158422
597	597	9.55081
598	598	19.5562
599	599	30.8401
599	6963	0.0542414
600	362	0.328921
600	600	27.3984
601	601	13.3027
602	602	10.5796
603	603	14.8235
603	5712	0.0195922
603	10523	0.0101959
604	604	13.9744
605	605	10.3226
606	606	8.85739
607	607	23.3434
607	7109	0.0424448
608	608	24.406
608	2221	0.0257218
609	609	32.34
609	2380	0.0548098
610	290	0.297544
610	610	16.7166
611	611	9.7251
612	612	13.7493
613	613	27.8597
613	703	0.179856
613	10613	0.121103
614	614	7.82045
615	615	31.0743
615	10462	0.17955
616	390	0.238142
616	616	24.4397
617	617	16.0542
618	618	36.6067
618	11505	0.399681
619	619	16.7924
620	620	9.30876
621	621	8.75979
622	622	27.9234
622	2301	0.21575
622	7791	0.106796
622	7815	0.271305
622	9068	0.37972
623	623	15.0957
624	624	23.0761
625	625	12.0639
626	626	37.2448
626	4927	0.0216796
627	627	18.9276
627	6990	0.0339719
628	628	27.6191
629	629	13.0348
629	6467	0.0362582
630	630	11.4673
631	631	30.3883
632	632	9.27515
633	633	21.6987
634	634	18.425
634	7275	0.0369254
635	635	8.51826
636	636	9.57912
637	637	13.3253
638	638	25.4931
638	8294	0.0430663
639	429	0.214707
639	639	19.7252
639	5053	0.216855
640	640	21.8923
641	107	0.0100182
641	641	17.2266
642	642	15.4727
642	2504	0.0587189
643	643	29.3721
643	5152	0.0559643
643	9302	0.11204
644	644	9.31405
645	645	13.5779
645	5255	0.0390414
645	11545	0.0390414
646	646	12.6598
647	272	0.0394685
647	647	13.7519
647	2261	0.116061
647	4233	0.0789371
648	648	11.465
649	649	10.7221
650	650	18.6109
650	3766	0.0516796
651	651	30.4944
651	5218	0.183419
652	652	100.654
652	3181	0.718738
652	4314	0.151333
653	653	10.842
654	654	17.3836
654	6691	0.0520082
654	9173	0.103502
655	655	13.5689
656	656	19.4613
657	657	22.6478
657	9303	0.425351
657	11259	0.129043
658	658	20.3167
659	659	8.04506
660	660	12.1713
661	661	112.045
661	3901	0.268962
661	9676	1.10274
661	11632	0.632598
662	662	15.2281
663	663	13.8282
664	664	8.16906
665	665	36.4677
665	1053	0.1514
665	4008	0.0646603
665	5331	0.0391641
665	6299	0.0389013
666	666	40.2873
666	3670	0.798547
666	6303	0.266843
667	667	20.6864
668	668	11.0824
669	669	31.331
669	7433	0.446957
669	8404	0.454493
670	670	8.38879
670	2204	0.18721
670	3852	0.0458758
671	671	13.7334
671	2204	0.053102
672	672	30.7728
672	7482	0.149685
673	673	12.5622
674	674	19.1975
675	675	7.71287
676	676	15.3875
676	5094	0.0643693
676	9815	0.193108
677	677	11.503
677	8496	0.0093005
678	678	81.8202
678	1578	0.446576
679	679	11.7458
679	1441	0.0533827
680	680	93.0869
680	10694	1.83156
681	681	57.4293
681	2125	0.634086
681	4779	0.131139
682	682	8.95007
682	5016	0.0342179
682	8640	0.051676
683	683	13.0083
684	684	8.41691
685	685	9.45432
686	686	25.8132
686	3706	0.124786
686	11082	0.0152672
687	687	19.3225
688	688	13.8304
688	1596	0.227892
689	689	19.0116
689	9176	0.00586357
690	690	12.9171
691	691	8.48218
692	692	10.1364
693	693	10.3505
694	694	22.2221
694	835	0.0389584
694	3226	0.0390257
695	695	10.7898
695	5181	0.133842
696	696	97.252
697	697	12.497
698	698	17.9331
699	699	41.9347
699	2073	0.109057
700	700	17.6366
700	5477	0.147184
700	9118	0.0605694
701	701	8.28459
702	702	10.0224
702	11284	0.0809619
703	613	0.156677
703	703	26.2182
704	704	8.04961
705	705	19.9473
706	706	9.71534
707	707	21.1483
707	5709	0.0461807
707	9028	0.0249626
708	708	18.5754
708	9175	0.0214797
709	709	11.1249
710	710	13.6865
711	711	11.7338
712	712	11.8141
713	713	30.1805
713	2364	0.00456621
713	4726	0.040693
714	714	32.8394
715	715	12.4578
716	716	8.22785
717	717	32.0696
718	718	18.047
719	719	11.2586
720	720	29.9186
721	721	12.5929
722	722	31.1222
722	2772	0.0490055
722	7311	0.11646
722	10967	0.251081
723	723	11.7432
724	724	9.87291
725	725	14.5372
725	1264	0.028347
725	7922	0.0194672
725	9742	0.102117
726	726	15.2817
726	7008	0.156799
726	7945	0.0362397
727	727	17.8493
727	7600	0.0607718
728	728	9.18033
729	729	17.8948
729	11657	0.0893871
730	730	10.6616
731	731	12.6748
732	732	12.9182
733	733	25.4484
733	1385	0.00439302
733	4480	0.00426254
733	5866	0.0394502
733	7626	0.0262711
734	403	0.426209
734	734	16.6895
735	735	11.7457
736	736	11.9832
736	9499	0.0409836
737	737	19.3822
737	9464	0.0516767
737	10653	0.00481513
738	738	9.90288
739	739	29.9222
740	740	10.0853
740	8646	0.0403226
741	741	12.2316
742	742	20.4746
743	743	11.4014
744	744	13.5391
745	745	12.6517
746	746	13.881
747	747	7.5784
748	748	11.2362
749	749	11.2985
749	8482	0.0448718
750	750	11.4692
751	751	23.3697
752	752	11.6816
753	753	30.6519
753	5375	0.404964
753	11018	0.416721
754	754	17.5646
755	755	11.5893
756	756	22.7348
757	757	10.2619
757	2536	0.116454
757	5674	0.289687
757	5914	0.115295
758	758	10.9436
759	759	14.8737
759	2974	0.365217
760	760	8.76697
761	761	18.5211
761	898	0.0439805
761	7342	0.266548
762	762	20.5246
762	1856	0.0568581
762	4725	0.41442
763	763	14.9904
763	923	0.402874
763	4295	0.31852
763	4762	0.107504
764	764	12.3036
764	1581	0.0862441
